GEO_ID,FIPS,Total population
1400000U,6037101110,4152
1400000U,6037101122,4198
1400000U,6037101220,3434
1400000U,6037101221,3931
1400000U,6037101222,2572
1400000U,6037101300,4210
1400000U,6037101400,3489
1400000U,6037102103,2054
1400000U,6037102104,4052
1400000U,6037102105,1664
1400000U,6037102107,3595
1400000U,6037103101,2705
1400000U,6037103102,4468
1400000U,6037103201,4425
1400000U,6037103202,1945
1400000U,6037103300,4021
1400000U,6037103401,2552
1400000U,6037103402,3809
1400000U,6037104103,4257
1400000U,6037104105,5890
1400000U,6037104108,4952
1400000U,6037104124,4090
1400000U,6037104201,4325
1400000U,6037104203,4978
1400000U,6037104204,3736
1400000U,6037104310,4476
1400000U,6037104321,2926
1400000U,6037104322,1856
1400000U,6037104401,3083
1400000U,6037104403,2292
1400000U,6037104404,3374
1400000U,6037104500,3539
1400000U,6037104610,3124
1400000U,6037104620,3266
1400000U,6037104701,3916
1400000U,6037104703,2306
1400000U,6037104704,4662
1400000U,6037104821,3476
1400000U,6037104822,2199
1400000U,6037104823,3195
1400000U,6037104824,2582
1400000U,6037106010,4049
1400000U,6037106020,4850
1400000U,6037106111,4707
1400000U,6037106112,5035
1400000U,6037106113,3835
1400000U,6037106114,6929
1400000U,6037106403,3860
1400000U,6037106405,4149
1400000U,6037106406,6292
1400000U,6037106407,2333
1400000U,6037106408,3832
1400000U,6037106510,5599
1400000U,6037106520,5484
1400000U,6037106603,3681
1400000U,6037106604,4349
1400000U,6037106641,2096
1400000U,6037106642,3514
1400000U,6037106643,4311
1400000U,6037106645,3672
1400000U,6037106646,3092
1400000U,6037106648,4713
1400000U,6037106649,2689
1400000U,6037107010,2997
1400000U,6037107020,4921
1400000U,6037108101,2128
1400000U,6037108102,3477
1400000U,6037108103,3053
1400000U,6037108104,1754
1400000U,6037108202,10248
1400000U,6037108203,3157
1400000U,6037108204,1782
1400000U,6037109100,2861
1400000U,6037109200,2863
1400000U,6037109300,2905
1400000U,6037109400,3620
1400000U,6037109500,3907
1400000U,6037109601,5042
1400000U,6037109603,4038
1400000U,6037109604,2721
1400000U,6037109700,4259
1400000U,6037109800,4625
1400000U,6037111100,2965
1400000U,6037111201,3275
1400000U,6037111202,5742
1400000U,6037111204,5902
1400000U,6037111205,3627
1400000U,6037111206,4295
1400000U,6037111302,4967
1400000U,6037111303,4567
1400000U,6037111304,3082
1400000U,6037111401,2193
1400000U,6037111402,5998
1400000U,6037113101,3540
1400000U,6037113102,2980
1400000U,6037113211,4138
1400000U,6037113212,2872
1400000U,6037113213,5068
1400000U,6037113231,2233
1400000U,6037113232,4777
1400000U,6037113234,5640
1400000U,6037113235,1690
1400000U,6037113237,4765
1400000U,6037113238,4596
1400000U,6037113239,2134
1400000U,6037113301,4255
1400000U,6037113303,3799
1400000U,6037113322,4761
1400000U,6037113323,3904
1400000U,6037113324,2837
1400000U,6037113423,2845
1400000U,6037113424,3133
1400000U,6037113425,4254
1400000U,6037113426,2302
1400000U,6037113427,2386
1400000U,6037113428,4120
1400000U,6037115101,5034
1400000U,6037115103,2606
1400000U,6037115104,4404
1400000U,6037115202,6034
1400000U,6037115203,1929
1400000U,6037115204,3953
1400000U,6037115301,4438
1400000U,6037115302,3839
1400000U,6037115401,5637
1400000U,6037115403,3379
