GEO_ID,FIPS,NAME,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0047E,DP05_0055E,DP05_0060E,DP05_0061E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0047PE,DP05_0055PE,DP05_0060PE,DP05_0061PE
1400000U,06037101110,Census Tract 1011.10; Los Angeles County; California,2367,146,4,292,5,558,780,57,3.5,0.1,7,0.1,13.4,18.8
1400000U,06037101122,Census Tract 1011.22; Los Angeles County; California,3047,25,24,544,0,277,281,72.6,0.6,0.6,13,0,6.6,6.7
1400000U,06037101220,Census Tract 1012.20; Los Angeles County; California,1704,10,87,490,0,517,626,49.6,0.3,2.5,14.3,0,15.1,18.2
1400000U,06037101221,Census Tract 1012.21; Los Angeles County; California,1835,150,27,390,0,805,724,46.7,3.8,0.7,9.9,0,20.5,18.4
1400000U,06037101222,Census Tract 1012.22; Los Angeles County; California,1417,14,80,51,25,55,930,55.1,0.5,3.1,2,1,2.1,36.2
1400000U,06037101300,Census Tract 1013; Los Angeles County; California,3202,69,0,229,0,294,416,76.1,1.6,0,5.4,0,7,9.9
1400000U,06037101400,Census Tract 1014; Los Angeles County; California,2340,58,0,333,0,128,630,67.1,1.7,0,9.5,0,3.7,18.1
1400000U,06037102103,Census Tract 1021.03; Los Angeles County; California,1686,51,0,241,0,27,49,82.1,2.5,0,11.7,0,1.3,2.4
1400000U,06037102104,Census Tract 1021.04; Los Angeles County; California,2951,59,23,472,0,72,475,72.8,1.5,0.6,11.6,0,1.8,11.7
1400000U,06037102105,Census Tract 1021.05; Los Angeles County; California,442,22,17,161,0,433,589,26.6,1.3,1,9.7,0,26,35.4
1400000U,06037102107,Census Tract 1021.07; Los Angeles County; California,2719,20,30,266,0,174,386,75.6,0.6,0.8,7.4,0,4.8,10.7
1400000U,06037103101,Census Tract 1031.01; Los Angeles County; California,1943,18,1,212,0,104,427,71.8,0.7,0,7.8,0,3.8,15.8
1400000U,06037103102,Census Tract 1031.02; Los Angeles County; California,3278,13,0,349,0,468,360,73.4,0.3,0,7.8,0,10.5,8.1
1400000U,06037103201,Census Tract 1032.01; Los Angeles County; California,2548,133,58,322,6,337,1021,57.6,3,1.3,7.3,0.1,7.6,23.1
1400000U,06037103202,Census Tract 1032.02; Los Angeles County; California,1110,19,0,45,0,678,93,57.1,1,0,2.3,0,34.9,4.8
1400000U,06037103300,Census Tract 1033; Los Angeles County; California,2960,101,18,185,0,45,712,73.6,2.5,0.4,4.6,0,1.1,17.7
1400000U,06037103401,Census Tract 1034.01; Los Angeles County; California,1716,4,15,439,0,41,337,67.2,0.2,0.6,17.2,0,1.6,13.2
1400000U,06037103402,Census Tract 1034.02; Los Angeles County; California,2319,475,0,344,0,273,398,60.9,12.5,0,9,0,7.2,10.4
1400000U,06037104103,Census Tract 1041.03; Los Angeles County; California,882,578,41,230,0,906,1620,20.7,13.6,1,5.4,0,21.3,38.1
1400000U,06037104105,Census Tract 1041.05; Los Angeles County; California,1222,298,41,103,0,2212,2014,20.7,5.1,0.7,1.7,0,37.6,34.2
1400000U,06037104108,Census Tract 1041.08; Los Angeles County; California,1259,402,21,240,0,1334,1696,25.4,8.1,0.4,4.8,0,26.9,34.2
1400000U,06037104124,Census Tract 1041.24; Los Angeles County; California,1991,415,33,191,0,479,981,48.7,10.1,0.8,4.7,0,11.7,24
1400000U,06037104201,Census Tract 1042.01; Los Angeles County; California,560,456,52,165,0,1499,1593,12.9,10.5,1.2,3.8,0,34.7,36.8
1400000U,06037104203,Census Tract 1042.03; Los Angeles County; California,1170,205,37,68,0,1761,1737,23.5,4.1,0.7,1.4,0,35.4,34.9
1400000U,06037104204,Census Tract 1042.04; Los Angeles County; California,1045,145,52,187,0,1142,1165,28,3.9,1.4,5,0,30.6,31.2
1400000U,06037104310,Census Tract 1043.10; Los Angeles County; California,725,55,62,4,0,2461,1169,16.2,1.2,1.4,0.1,0,55,26.1
1400000U,06037104321,Census Tract 1043.21; Los Angeles County; California,507,26,54,13,0,1116,1210,17.3,0.9,1.8,0.4,0,38.1,41.4
1400000U,06037104322,Census Tract 1043.22; Los Angeles County; California,465,2,17,29,6,842,495,25.1,0.1,0.9,1.6,0.3,45.4,26.7
1400000U,06037104401,Census Tract 1044.01; Los Angeles County; California,674,29,24,0,6,1409,941,21.9,0.9,0.8,0,0.2,45.7,30.5
1400000U,06037104403,Census Tract 1044.03; Los Angeles County; California,528,0,0,89,0,1182,493,23,0,0,3.9,0,51.6,21.5
1400000U,06037104404,Census Tract 1044.04; Los Angeles County; California,752,0,0,20,0,1507,1095,22.3,0,0,0.6,0,44.7,32.5
1400000U,06037104500,Census Tract 1045; Los Angeles County; California,517,5,6,27,0,1377,1607,14.6,0.1,0.2,0.8,0,38.9,45.4
1400000U,06037104610,Census Tract 1046.10; Los Angeles County; California,500,0,44,10,0,1696,874,16,0,1.4,0.3,0,54.3,28
1400000U,06037104620,Census Tract 1046.20; Los Angeles County; California,843,13,49,18,0,1176,1167,25.8,0.4,1.5,0.6,0,36,35.7
1400000U,06037104701,Census Tract 1047.01; Los Angeles County; California,928,118,120,9,14,1328,1399,23.7,3,3.1,0.2,0.4,33.9,35.7
1400000U,06037104703,Census Tract 1047.03; Los Angeles County; California,537,181,33,45,0,455,1055,23.3,7.8,1.4,2,0,19.7,45.8
1400000U,06037104704,Census Tract 1047.04; Los Angeles County; California,1040,282,3,133,0,1443,1761,22.3,6,0.1,2.9,0,31,37.8
1400000U,06037104821,Census Tract 1048.21; Los Angeles County; California,797,0,8,48,0,1311,1312,22.9,0,0.2,1.4,0,37.7,37.7
1400000U,06037104822,Census Tract 1048.22; Los Angeles County; California,387,10,26,101,0,849,826,17.6,0.5,1.2,4.6,0,38.6,37.6
1400000U,06037104823,Census Tract 1048.23; Los Angeles County; California,388,143,0,354,0,761,1549,12.1,4.5,0,11.1,0,23.8,48.5
1400000U,06037104824,Census Tract 1048.24; Los Angeles County; California,335,0,60,0,17,1220,950,13,0,2.3,0,0.7,47.3,36.8
1400000U,06037106010,Census Tract 1060.10; Los Angeles County; California,1521,34,21,52,15,1099,1307,37.6,0.8,0.5,1.3,0.4,27.1,32.3
1400000U,06037106020,Census Tract 1060.20; Los Angeles County; California,923,220,77,423,0,2222,985,19,4.5,1.6,8.7,0,45.8,20.3
1400000U,06037106111,Census Tract 1061.11; Los Angeles County; California,1981,274,55,548,0,1093,756,42.1,5.8,1.2,11.6,0,23.2,16.1
1400000U,06037106112,Census Tract 1061.12; Los Angeles County; California,1818,120,299,361,0,1431,1006,36.1,2.4,5.9,7.2,0,28.4,20
1400000U,06037106113,Census Tract 1061.13; Los Angeles County; California,1118,68,91,607,6,713,1232,29.2,1.8,2.4,15.8,0.2,18.6,32.1
1400000U,06037106114,Census Tract 1061.14; Los Angeles County; California,1935,73,20,726,41,2504,1630,27.9,1.1,0.3,10.5,0.6,36.1,23.5
1400000U,06037106403,Census Tract 1064.03; Los Angeles County; California,1183,190,8,60,67,1600,752,30.6,4.9,0.2,1.6,1.7,41.5,19.5
1400000U,06037106405,Census Tract 1064.05; Los Angeles County; California,1127,429,31,305,0,1075,1182,27.2,10.3,0.7,7.4,0,25.9,28.5
1400000U,06037106406,Census Tract 1064.06; Los Angeles County; California,2258,132,0,546,0,1999,1357,35.9,2.1,0,8.7,0,31.8,21.6
1400000U,06037106407,Census Tract 1064.07; Los Angeles County; California,752,142,11,74,0,978,376,32.2,6.1,0.5,3.2,0,41.9,16.1
1400000U,06037106408,Census Tract 1064.08; Los Angeles County; California,1015,147,151,64,5,1302,1148,26.5,3.8,3.9,1.7,0.1,34,30
